,source,target
7757,Oligodendrocyte progenitor cells,TNR
7787,Mesangial cells,TPM2
7788,Hepatic stellate cells,TPM2
7793,Mast cells,TPSAB1
7794,Mast cells,TPSB2
7797,T cells,TRAC
7798,T cytotoxic cells,TRAC
7811,T cells,TRBC2
7813,Gamma delta T cells,TRDC
7828,Macrophages,TREM2
7850,Podocytes,TRIB2
7909,Adipocytes,TSPO
7935,Alpha cells,TTR
7937,Hepatocytes,TTR
7965,Macrophages,TYROBP
8019,Oligodendrocyte progenitor cells,VCAN
8038,Podocytes,VEGFA
8047,Enterocytes,VIL1
8052,Fibroblasts,VIM
8053,Pericytes,VIM
8064,B cells naive,VPREB3
8065,B cells,VPREB3
8070,Macrophages,VSIG4
8072,Neurons,VSNL1
8086,Mast cells,VWA5A
8092,Endothelial cells,VWF
8101,Luminal epithelial cells,WFDC2
8102,Ductal cells,WFDC2
8129,Podocytes,WT1
8197,Ependymal cells,ZMYND10
